split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Zürich HB,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,30i,—
Baden,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,45i,—
Baden,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,46i,—
Brugg AG,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,53i,—
Brugg AG,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,55i,—
Aarau,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7n,—
Aarau,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11n,—
Olten,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,20n,—
Olten,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,22n,44n
Langenthal,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,36n,54n
Langenthal,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,37n,55n
Herzogenbuchsee,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,42n,0i
Herzogenbuchsee,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,43n,1i
Burgdorf,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,54n,12i
Burgdorf,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,55n,13i
Bern,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8i,31i
Bern,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,22i,34i
Fribourg/Freiburg,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,43i,55i
Fribourg/Freiburg,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,44i,57i
Romont FR,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1n,14n
Romont FR,ab,—,—,—,—,—,—,—,—,—,—,—,47,47,47,47,47,47,—,—,—,—,—,2n,15n
Palézieux,an,—,—,—,—,—,—,—,—,—,—,—,1,1,1,1,1,1,—,—,—,—,—,17n,29n
Palézieux,ab,—,—,—,—,—,—,—,—,—,—,—,2,2,2,2,2,2,—,—,—,—,—,18n,30n
Lausanne,an,—,—,—,—,—,—,—,—,—,—,—,17,17,18,18,18,18,—,—,—,—,—,34n,45n
Lausanne,ab,—,—,—,—,—,—,—,—,—,—,—,21,21,21,21,21,21,—,—,—,—,—,41n,49n
Renens VD,an,—,—,—,—,—,—,—,—,—,—,—,26,26,25,25,25,25,—,—,—,—,—,45n,—
Renens VD,ab,—,—,—,—,—,—,—,—,—,—,—,27,27,26,26,26,26,—,—,—,—,—,46n,—
Morges,an,—,—,—,—,—,—,—,—,—,—,—,33,33,31,31,31,31,—,—,—,—,—,51n,57n
Morges,ab,—,—,—,—,—,—,—,—,—,—,—,34,34,32,32,32,32,—,—,—,—,—,52n,58n
Allaman,an,—,—,—,—,—,—,—,—,—,—,—,40,40,37,37,37,37,—,—,—,—,—,—,—
Allaman,ab,—,—,—,—,—,—,—,—,—,—,—,41,41,38,38,38,38,—,—,—,—,—,—,—
Rolle,an,—,—,—,—,—,—,—,—,—,—,—,45,45,42,42,42,42,—,—,—,—,—,—,—
Rolle,ab,—,—,—,—,—,—,—,—,—,—,—,46,46,43,43,43,43,—,—,—,—,—,—,—
Gland,an,—,—,—,—,—,—,—,—,—,—,—,49,49,47,47,47,47,—,—,—,—,—,3i,—
Gland,ab,—,—,—,—,—,—,—,—,—,—,—,50,50,48,48,48,48,—,—,—,—,—,4i,—
Nyon,an,—,—,—,—,—,—,—,—,—,—,—,54,54,52,52,52,52,—,—,—,—,—,8i,13i
Nyon,ab,—,—,—,—,—,—,—,—,—,—,—,55,55,53,53,53,53,—,—,—,—,—,9i,14i
Coppet,an,—,—,—,—,—,—,—,—,—,—,—,0,0,58,58,58,58,—,—,—,—,—,14i,—
Coppet,ab,—,—,—,—,—,—,—,—,—,—,—,1,1,59,59,59,59,—,—,—,—,—,15i,—
Genève,an,—,—,—,—,—,—,—,—,—,—,—,11,11,9,9,9,9,—,—,—,—,—,26i,28i
Genève,ab,—,—,—,—,—,—,—,—,—,—,—,49,49,51,51,51,51,—,—,—,—,—,34n,26i
Coppet,an,—,—,—,—,—,—,—,—,—,—,—,58,58,0,0,0,0,—,—,—,—,—,43n,—
Coppet,ab,—,—,—,—,—,—,—,—,—,—,—,59,59,1,1,1,1,—,—,—,—,—,44n,—
Nyon,an,—,—,—,—,—,—,—,—,—,—,—,4,4,6,6,6,6,—,—,—,—,—,49n,39i
Nyon,ab,—,—,—,—,—,—,—,—,—,—,—,5,5,7,7,7,7,—,—,—,—,—,50n,40i
Gland,an,—,—,—,—,—,—,—,—,—,—,—,9,9,11,11,11,11,—,—,—,—,—,54n,—
Gland,ab,—,—,—,—,—,—,—,—,—,—,—,9,9,11,11,11,11,—,—,—,—,—,55n,—
Rolle,an,—,—,—,—,—,—,—,—,—,—,—,14,14,16,16,16,16,—,—,—,—,—,—,—
Rolle,ab,—,—,—,—,—,—,—,—,—,—,—,14,14,16,16,16,16,—,—,—,—,—,—,—
Allaman,an,—,—,—,—,—,—,—,—,—,—,—,18,18,20,20,20,20,—,—,—,—,—,—,—
Allaman,ab,—,—,—,—,—,—,—,—,—,—,—,19,19,21,21,21,21,—,—,—,—,—,—,—
Morges,an,—,—,—,—,—,—,—,—,—,—,—,25,25,27,27,27,27,—,—,—,—,—,6i,55i
Morges,ab,—,—,—,—,—,—,—,—,—,—,—,26,26,28,28,28,28,—,—,—,—,—,7i,56i
Renens VD,an,—,—,—,—,—,—,—,—,—,—,—,31,31,33,33,33,33,—,—,—,—,—,13i,—
Renens VD,ab,—,—,—,—,—,—,—,—,—,—,—,32,32,34,34,34,34,—,—,—,—,—,14i,—
Lausanne,an,—,—,—,—,—,—,—,—,—,—,—,39,39,39,39,39,39,—,—,—,—,—,19i,5n
Lausanne,ab,—,—,—,—,—,—,—,—,—,—,—,42,42,42,42,42,42,—,—,—,—,—,26i,9n
Palézieux,an,—,—,—,—,—,—,—,—,—,—,—,57,57,57,57,57,57,—,—,—,—,—,41i,24n
Palézieux,ab,—,—,—,—,—,—,—,—,—,—,—,58,58,58,58,58,58,—,—,—,—,—,42i,25n
Romont FR,an,—,—,—,—,—,—,—,—,—,—,—,13,13,13,13,13,13,—,—,—,—,—,57i,39n
Romont FR,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,58i,40n
Fribourg/Freiburg,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,15n,56n
Fribourg/Freiburg,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,16n,58n
Bern,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,38n,20i
Bern,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,52n,23i
Burgdorf,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5i,38i
Burgdorf,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6i,39i
Herzogenbuchsee,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,17i,50i
Herzogenbuchsee,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,18i,51i
Langenthal,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,23i,56i
Langenthal,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,24i,57i
Olten,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,38i,10n
Olten,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,40i,—
Aarau,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,49i,—
Aarau,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,51i,—
Brugg AG,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3n,—
Brugg AG,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4n,—
Baden,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11n,—
Baden,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,12n,—
Zürich HB,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,30n,—
BLS RE 1,an/ab,Y,2035,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,2012,2011,2009,2008,2005,2002,1982
Bern,ab,—,—,39n,39n,39n,39n,39n,39n,39n,39n,39,39,39,39,39,39,39,39,—,—,—,—,—,—
Münsingen,an,—,—,51n,51n,50n,49n,49n,49n,49n,49n,50,49,49,48,48,48,48,48,—,—,—,—,—,—
Münsingen,ab,—,—,51n,51n,51n,50n,50n,50n,50n,50n,50,50,50,49,49,49,49,49,—,—,—,—,—,—
Thun,an,—,—,0i,0i,59n,59n,59n,59n,59n,59n,1,59,59,59,59,59,59,59,—,—,—,—,—,—
Thun,ab,—,—,1i,1i,1i,1i,1i,1i,1i,1i,1,1,1,1,1,1,1,1,—,—,—,—,—,54
Spiez,an,—,—,10i,10i,10i,10i,10i,10i,10i,10i,10,10,10,10,10,10,10,10,—,—,—,—,—,11
Spiez,ab,—,—,12i,12i,12i,12i,12i,12i,12i,12i,12,12,12,12,12,12,12,12,12,12,12,—,—,14
Mülenen,an,—,—,17i,17i,17i,17i,17i,17i,17i,17i,17,17,17,17,17,17,17,17,17,17,17,—,—,20
Mülenen,ab,—,—,17i,17i,17i,17i,17i,17i,17i,17i,17,17,17,17,17,17,17,17,17,17,17,—,—,20
Reichenbach im Kandertal,an,—,—,19i,19i,19i,19i,19i,19i,19i,19i,19,19,19,19,19,19,19,19,19,19,20,—,—,24
Reichenbach im Kandertal,ab,—,—,19i,19i,19i,19i,19i,19i,19i,19i,19,19,19,19,19,19,19,19,19,19,20,—,—,25
Frutigen,an,—,—,24i,24i,23i,23i,24n,24n,24n,24n,24,24,24,24,24,24,24,24,24,24,26,—,—,30
Frutigen,ab,—,—,25i,25i,24n,24n,25i,25i,25i,25i,25,25,25,25,25,25,25,25,25,25,27,—,—,32
Kandersteg,an,—,—,40i,40i,39i,39i,40i,40i,40i,40i,40,41,41,41,41,41,41,41,41,41,42,—,—,50
Kandersteg,ab,—,—,41i,41i,40i,40i,41i,41i,41i,41i,41,42,42,42,42,42,42,42,42,42,43,—,—,53i
Goppenstein,an,—,—,52i,52i,53i,53i,54i,54i,54i,54i,54,54,54,54,54,54,54,54,54,54,55,—,—,4n
Goppenstein,ab,—,—,52i,52i,54i,54i,55i,55i,55i,55i,54,54,57,57,57,57,57,57,57,57,55,35,41,5n
Hohtenn,an,—,—,56i,56i,56i,56i,56i,56i,56i,56i,58,58,1,1,1,1,1,1,1,1,1,39,45,9n
Hohtenn,ab,—,—,56i,56i,56i,56i,56i,56i,56i,56i,58,58,1,1,1,1,1,1,1,1,1,39,45,9n
Ausserberg,an,—,—,4n,4n,4n,4n,4n,4n,4n,4n,6,6,9,9,9,9,9,9,9,9,9,47,53,17n
Ausserberg,ab,—,—,4n,4n,4n,4n,4n,4n,4n,4n,6,6,9,9,9,9,9,9,9,9,9,47,53,17n
Eggerberg,an,—,—,7n,7n,7n,7n,7n,7n,7n,7n,9,9,12,12,12,12,12,12,12,12,12,50,56,20n
Eggerberg,ab,—,—,7n,7n,7n,7n,7n,7n,7n,7n,9,9,12,12,12,12,12,12,12,12,12,50,56,20n
Lalden,an,—,—,10n,10n,—,—,—,—,—,—,12,12,15,15,15,15,15,15,15,15,15,53,59,23n
Lalden,ab,—,—,10n,10n,—,—,—,—,—,—,12,12,15,15,15,15,15,15,15,15,15,53,59,23n
Brig,an,—,—,22n,22n,21n,20n,22n,22n,20n,22n,20,20,23,24,24,24,24,24,24,24,24,1,7,33n
Brig,ab,—,—,36i,36i,34i,34i,34i,34i,34i,34i,36,36,36,36,36,36,36,36,36,36,35,5,11,16i
Lalden,an,—,—,40i,40i,—,—,—,—,—,—,40,40,40,40,40,40,40,40,40,40,40,9,15,20i
Lalden,ab,—,—,40i,40i,—,—,—,—,—,—,40,40,40,40,40,40,40,40,40,40,40,9,15,21i
Eggerberg,an,—,—,43i,43i,43i,43i,43i,43i,43i,43i,43,43,43,43,43,43,43,43,43,43,43,12,18,24i
Eggerberg,ab,—,—,43i,43i,43i,43i,43i,43i,43i,43i,43,43,43,43,43,43,43,43,43,43,43,12,18,25i
Ausserberg,an,—,—,48i,48i,48i,48i,48i,48i,48i,48i,48,48,48,48,48,48,48,48,48,48,48,17,23,30i
Ausserberg,ab,—,—,48i,48i,48i,48i,48i,48i,48i,48i,48,48,48,48,48,48,48,48,48,48,48,17,23,31i
Hohtenn,an,—,—,54i,54i,54i,54i,54i,54i,54i,54i,54,54,54,54,54,54,54,54,54,54,54,23,29,37i
Hohtenn,ab,—,—,54i,54i,54i,54i,54i,54i,54i,54i,54,54,54,54,54,54,54,54,54,54,54,23,29,38i
Goppenstein,an,—,—,1n,1n,59i,59i,59i,59i,59i,59i,2,1,0,0,0,0,0,0,1,1,2,31,37,47i
Goppenstein,ab,—,—,2n,2n,0n,0n,0n,0n,0n,0n,2,2,1,1,1,1,1,1,1,1,2,—,—,48i
Kandersteg,an,—,—,13n,13n,14n,14n,14n,14n,14n,14n,14,12,12,12,12,12,12,12,12,12,13,—,—,0n
Kandersteg,ab,—,—,14n,14n,15n,15n,15n,15n,15n,15n,15,13,13,13,13,13,13,12,12,12,14,—,—,2
Frutigen,an,—,—,29n,29n,30n,30n,30n,31n,31n,31n,31,29,28,28,28,28,28,28,28,28,30,—,—,20
Frutigen,ab,—,—,30n,30n,31n,31n,31n,32n,32n,32n,32,31,30,30,30,30,30,30,32,32,31,—,—,22
Reichenbach im Kandertal,an,—,—,34n,34n,35n,35n,35n,36n,36n,36n,36,33,32,32,32,32,32,32,36,36,35,—,—,27
Reichenbach im Kandertal,ab,—,—,34n,34n,35n,35n,35n,36n,36n,36n,36,34,33,33,33,33,33,33,36,36,35,—,—,28
Mülenen,an,—,—,35n,35n,36n,36n,36n,37n,37n,37n,37,35,34,34,34,34,34,34,37,37,37,—,—,29
Mülenen,ab,—,—,35n,35n,36n,36n,36n,37n,37n,37n,37,35,35,35,35,35,35,35,38,38,38,—,—,29
Spiez,an,—,—,44n,44n,44n,44n,44n,44n,44n,44n,44,44,44,44,44,44,44,44,47,47,47,—,—,38
Spiez,ab,—,—,50n,50n,50n,50n,50n,50n,50n,50n,50,50,50,50,50,50,50,50,—,—,—,—,—,40
Thun,an,—,—,58n,58n,58n,58n,58n,58n,58n,58n,58,58,58,58,58,58,58,58,—,—,—,—,—,57
Thun,ab,—,—,59n,59n,59n,59n,59n,59n,59n,59n,58,59,59,59,59,59,59,59,—,—,—,—,—,—
Münsingen,an,—,—,8i,8i,8i,8i,8i,8i,8i,8i,8,8,8,8,8,8,8,7,—,—,—,—,—,—
Münsingen,ab,—,—,8i,8i,9i,9i,9i,9i,9i,9i,8,8,8,8,8,8,8,7,—,—,—,—,—,—
Bern,an,—,—,22i,22i,21i,21i,21i,21i,21i,21i,20,20,20,20,20,20,20,20,—,—,—,—,—,—
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Neuchâtel,ab,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ins,an,—,11,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ins,ab,—,12,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kerzers,an,—,19,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kerzers,ab,—,20,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bern,an,—,36,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bern,ab,—,52,39i,39i,39i,39i,39i,39i,39i,39i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Münsingen,an,—,2,51i,51i,50i,49i,49i,49i,49i,49i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Münsingen,ab,—,3,51i,51i,51i,50i,50i,50i,50i,50i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Thun,an,—,14,0n,0n,59i,59i,59i,59i,59i,59i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Thun,ab,—,15,1n,1n,1n,1n,1n,1n,1n,1n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spiez,an,—,24,10n,10n,10n,10n,10n,10n,10n,10n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spiez,ab,—,25,12n,12n,12n,12n,12n,12n,12n,12n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Mülenen,an,—,30,17n,17n,17n,17n,17n,17n,17n,17n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Mülenen,ab,—,30,17n,17n,17n,17n,17n,17n,17n,17n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Reichenbach im Kandertal,an,—,32,19n,19n,19n,19n,19n,19n,19n,19n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Reichenbach im Kandertal,ab,—,32,19n,19n,19n,19n,19n,19n,19n,19n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Frutigen,an,—,38,24n,24n,23n,23n,24n,24n,24n,24n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Frutigen,ab,—,40,25n,25n,24n,24n,25n,25n,25n,25n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kandersteg,an,—,55,40n,40n,39n,39n,40n,40n,40n,40n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kandersteg,ab,—,56,41n,41n,40n,40n,41n,41n,41n,41n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Goppenstein,an,—,7,52n,52n,53n,53n,54n,54n,54n,54n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Goppenstein,ab,—,8,52n,52n,54n,54n,55n,55n,55n,55n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Hohtenn,an,—,12,56n,56n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Hohtenn,ab,—,12,56n,56n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ausserberg,an,—,19,4i,4i,4i,4i,4i,4i,4i,4i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ausserberg,ab,—,19,4i,4i,4i,4i,4i,4i,4i,4i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Eggerberg,an,—,22,7i,7i,7i,7i,7i,7i,7i,7i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Eggerberg,ab,—,22,7i,7i,7i,7i,7i,7i,7i,7i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Brig,an,—,33,18i,18i,19i,18i,20i,20i,20i,20i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Brig,ab,—,29,36n,36n,36n,36n,36n,36n,36n,36n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Eggerberg,an,—,36,43n,43n,43n,43n,43n,43n,43n,43n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Eggerberg,ab,—,36,43n,43n,43n,43n,43n,43n,43n,43n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ausserberg,an,—,41,48n,48n,48n,48n,48n,48n,48n,48n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ausserberg,ab,—,41,48n,48n,48n,48n,48n,48n,48n,48n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Hohtenn,an,—,47,54n,54n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Hohtenn,ab,—,47,54n,54n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Goppenstein,an,—,53,1i,1i,59n,59n,59n,59n,59n,59n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Goppenstein,ab,—,54,2i,2i,0i,0i,0i,0i,0i,0i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kandersteg,an,—,4,13i,13i,14i,14i,14i,14i,14i,14i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kandersteg,ab,—,5,14i,14i,15i,15i,15i,15i,15i,15i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Frutigen,an,—,21,29i,29i,30i,30i,30i,31i,31i,31i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Frutigen,ab,—,21,30i,30i,31i,31i,31i,32i,32i,32i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Reichenbach im Kandertal,an,—,25,34i,34i,35i,35i,35i,36i,36i,36i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Reichenbach im Kandertal,ab,—,25,34i,34i,35i,35i,35i,36i,36i,36i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Mülenen,an,—,26,35i,35i,36i,36i,36i,37i,37i,37i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Mülenen,ab,—,26,35i,35i,36i,36i,36i,37i,37i,37i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spiez,an,—,35,44i,44i,44i,44i,44i,44i,44i,44i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spiez,ab,—,35,50i,50i,50i,50i,50i,50i,50i,50i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Thun,an,—,44,58i,58i,58i,58i,58i,58i,58i,58i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Thun,ab,—,45,59i,59i,59i,59i,59i,59i,59i,59i,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Münsingen,an,—,55,8n,8n,8n,8n,8n,8n,8n,8n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Münsingen,ab,—,56,8n,8n,9n,9n,9n,9n,9n,9n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bern,an,—,8,22n,22n,21n,21n,21n,21n,21n,21n,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bern,ab,—,24,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kerzers,an,—,41,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kerzers,ab,—,42,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ins,an,—,48,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ins,ab,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuchâtel,an,—,58,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
PE,an/ab,Y,2035,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,2012,2011,2009,2008,2005,2002,1982
Luzern,ab,—,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,55,55,55,55,55,55,35,17i
Horw,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,38,—
Horw,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,39,—
Hergiswil NW,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5,5,5,5,5,5,47,27i
Hergiswil NW,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6,6,6,6,6,6,48,29i
Sarnen,an,—,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,18,18,18,18,18,20,1,41i
Sarnen,ab,—,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,20,20,20,20,20,20,2,42i
Sachseln,an,—,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,—,—,—,—,—,—,4,—
Sachseln,ab,—,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,—,—,—,—,—,—,5,—
Giswil,an,—,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,29,29,29,29,29,29,12,52i
Giswil,ab,—,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,30,30,30,30,30,31,14,57i
Kaiserstuhl OW,an,—,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,36,36,36,36,36,37,20,—
Kaiserstuhl OW,ab,—,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,36,36,36,36,36,37,20,—
Lungern,an,—,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,42,42,42,42,42,43,26,12n
Lungern,ab,—,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,42,42,42,42,42,43,26,12n
